"id","sku","name","description","measure","price","mrp","on_hand","taxons","has_variants","no_of_variants","deleted_at",
1060501508,,"Kellogg's Corn Flakes Stawberry",,,93.1,95,1000,"Groceries/Cereals","TRUE",1,,2
1025788382,,,,"275 gms",93.1,95,1000,,,,,2
1060501509,,"Kellogg's Corn Flakes Choco's Panet & Stars",,,127.4,130,1000,"Groceries/Cereals","TRUE",1,,2
1025788384,,,,"350 gms",127.4,130,1000,,,,,2
1060501510,,"Kellogg's Corn Flakes Chocos's Duet",,,44.1,45,1000,"Groceries/Cereals","TRUE",2,,2
1025788387,,,,"125 gms",44.1,45,1000,,,,,2
1025788386,,,,"375 gms",127.4,130,1000,,,,,2
1060501511,,"Quake Oat",,,29.4,30,1000,"Groceries/Cereals","TRUE",3,,2
1025788391,,,,"200 gms",29.4,30,1000,,,,,2
1025788390,,,,"400 gms",53.9,55,1000,,,,,2
1025788389,,,,"1 kg",115.6,118,1000,,,,,2.033898305
1060501512,,"Kellogg's 2 Week Challenge Kit",,,88.2,90,1000,"Groceries/Cereals","TRUE",2,,2
1025788394,,,,"290 gms",88.2,90,1000,,,,,2
1025788393,,,,"435 gms",127.4,130,1000,,,,,2
1060501513,,"Kellogg's Corn Flakes Real Honey ",,,39.2,40,0,"Groceries/Cereals","TRUE",2,,2
1025788397,,,,"125 gms",39.2,40,0,,,,,2
1025788396,,,,"435 gms",93.1,95,0,,,,,2
1060501514,,"Kellogg's Wheat Flakes ",,,127.4,130,1000,"Groceries/Cereals","TRUE",1,,2
1025788399,,,,"425 gms",127.4,130,1000,,,,,2
1060501515,,"Saffola Oat",,,48,49,1000,"Groceries/Cereals","TRUE",2,,2.040816327
1025788402,,,,"400 gms",48,49,1000,,,,,2.040816327
1025788401,,,,"1 kg",97,99,1000,,,,,2.02020202
1060501516,,"Baggry Crunchi Muesli",,,145,155,1000,"Groceries/Cereals","TRUE",1,,6.451612903
1025788404,,,,"425 gms",145,155,1000,,,,,6.451612903
1060501517,,"Baggry Fruit & Fibre Muesli",,,145,155,1000,"Groceries/Cereals","TRUE",1,,6.451612903
1025788406,,,,"425 gms",145,155,1000,,,,,6.451612903
1060501518,,"Baggry Choco Delight Muesli",,,145,155,1000,"Groceries/Cereals","TRUE",1,,6.451612903
1025788408,,,,"425 gms",145,155,1000,,,,,6.451612903
1060501519,,"Baggry Healthy Crunch Muesli",,,145,155,1000,"Groceries/Cereals","TRUE",1,,6.451612903
1025788410,,,,"425 gms",145,155,1000,,,,,6.451612903
,,"Kellogg's Oat Bites",,,93.1,95,1000,"Groceries/Cereals","TRUE",1,,2
,,,,"350 gms",93.1,95,1000,,,,,2
,,"Kellogg's HeartToHeart Oats",,,28.4,29,1000,"Groceries/Cereals","TRUE",3,,2.068965517
,,,,"200 gms",28.4,29,1000,,,,,2.068965517
,,,,"400 gms",53.9,55,1000,,,,,2
,,,,"1 kg",115.6,118,1000,,,,,2.033898305
1060501381,,"Tata Tea Gold",,,74.5,76,0,"Groceries/Beverages/Tea & Coffee","TRUE",1,,1.973684211
